id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00001,Filali,Ahmed,ahmed.filali157@gmail.com,1984-07-20,m,Béni Mellal,0684252722,2024-09-09,web
C00002,El Amrani,Salma,salma.elamrani788@yahoo.fr,1960-12-24,H,Béni Mellal,0633978249,2023-09-25,referral
C00003,El Mansouri,Ghita,ghita.elmansouri204@live.fr,1993-01-20,H,TANGER,0625014631,2023-08-01,marketplace
C00004,Amrani,Zineb,zineb.amrani900@hotmail.com,1964-09-25,m,RABAT,0673791320,2022-03-22,referral
C00005,Ouahbi,Zakaria,zakaria.ouahbi988@outlook.com,2005-05-13,h,RABAT,0670597444,2023-08-17,web
C00006,Skalli,Ahmed,ahmed.skalli568@live.fr,1963-04-03,m,Rabat,0679008866,2021-06-03,mobile
C00007,Cherkaoui,Mustapha,mustapha.cherkaoui741@hotmail.com,1990-07-07,H,tanger,0667854710,2021-02-22,marketplace
C00008,Ouahbi,Nabil,nabil.ouahbi63@gmail.com,1972-04-18,m,FES,0634627347,2024-03-14,marketplace
C00009,El Ouazzani,Ahmed,ahmed.elouazzani52@gmail.com,1975-03-14,H,Tanger,0663826716,2024-08-07,web
C00010,Bouzid,Mohamed,mohamed.bouzid293@outlook.com,2005-08-05,Homme,MARRAKECH,0617849494,2022-05-07,referral
C00011,Tahiri,Khadija,khadija.tahiri52@gmail.com,1963-09-03,Femme,FES,0619121552,2022-02-20,mobile
C00012,Amrani,Brahim,brahim.amrani41@live.fr,1980-05-07,h,Tnja,0663121477,2023-04-09,mobile
C00013,El Ouazzani,Zineb,zineb.elouazzani10@gmail.com,1973-09-09,Femme,Marrakech,0642787299,2022-06-03,marketplace
C00014,Benali,Nabil,nabil.benali627@yahoo.fr,2025-11-04,H,TNG,0624366125,2022-05-04,referral
C00015,Haddad,Hassan,hassan.haddad209@yahoo.fr,1963-02-21,0,TNG,0610475894,2024-05-02,marketplace
C00016,Benjelloun,Ghita,ghita.benjelloun565@outlook.com,2004-03-18,1,Marrakech,0684158663,2021-06-19,mobile
C00017,El Mansouri,Youssef,youssef.elmansouri921@gmail.com,1995-07-20,Femme,Casablanca,0631810617,2022-04-28,mobile
C00018,Fassi Fihri,Fatima,fatima.fassifihri822@outlook.com,2004-02-13,Femme,Kénitra,0636786211,2021-08-08,social_media
C00019,Amrani,Karim,karim.amrani409@hotmail.com,2001-09-13,m,mkch,0625480907,2025-06-01,marketplace
C00020,Bennani,Rachid,rachid.bennani445@live.fr,1992-02-13,f,Béni Mellal,0615957459,2025-04-09,social_media
C00021,El Amrani,Reda,reda.elamrani442@yahoo.fr,2002-02-24,0,Nador,0699508850,2023-09-10,social_media
C00022,Benkirane,Hassan,hassan.benkirane431@hotmail.com,1999-10-10,1,RABAT,0610054484,2024-09-27,marketplace
C00023,Rahmouni,Adil,adil.rahmouni671@live.fr,1990-12-06,h,Casablanca,0699100953,2021-05-17,referral
C00024,El Amrani,Karim,fatima.fassifihri822@outlook.com,1964-08-14,Homme,tanger,0661536717,2025-04-23,social_media
C00025,Bouazza,Omar,omar.bouazza798@gmail.com,1963-09-08,m,rbt,0672363359,2021-08-05,referral
C00026,Skalli,Ilham,ilham.skalli835@live.fr,1988-03-24,female,fes,0643183955,2024-08-09,marketplace
C00027,Kettani,Loubna,loubna.kettani451@yahoo.fr,1994-02-05,0,Tétouan,0630509175,2022-04-13,mobile
C00028,Skalli,Adil,adil.skalli426@outlook.com,1997-12-01,H,El Jadida,0610791358,2025-07-16,marketplace
C00029,Ouahbi,Khalid,khalid.ouahbi766@live.fr,1974-05-14,male,Fès,0655114543,2024-01-13,social_media
C00030,Berrada,Rim,rim.berrada28@live.fr,2001-07-05,h,Casablanca,0644917589,2024-03-02,social_media
C00031,Skalli,Nabil,nabil.skalli285@outlook.com,1990-01-24,Femme,Tétouan,0640094589,2025-01-12,web
C00032,Bennani,Ghita,ghita.bennani205@hotmail.com,2002-02-19,m,Kénitra,0644392446,2022-08-23,marketplace
C00033,Tahiri,Driss,driss.tahiri988@hotmail.com,1984-07-23,f,Meknès,0694187049,2022-02-19,mobile
C00034,Ouahbi,Hassan,hassan.ouahbi816@gmail.com,2002-06-03,h,Safi,0611698142,2025-11-11,social_media
C00035,Chraibi,Salma,salma.chraibi725@outlook.com,1977-10-26,Femme,TNG,0668461818,2025-08-15,referral
C00036,Benali,Karim,karim.benali903@yahoo.fr,1984-06-01,f,Tnja,0675437844,2024-06-06,mobile
C00037,Skalli,Rachid,rachid.skalli719@live.fr,1965-04-24,Homme,TNG,0642255732,2024-08-18,social_media
C00038,El Ouazzani,Hanane,hanane.elouazzani302@gmail.com,1983-08-18,m,Meknès,0683871890,2025-06-14,marketplace
C00039,Benjelloun,Nabil,nabil.benjelloun237@yahoo.fr,2004-03-07,Homme,Marrakech,0647111151,2022-12-16,referral
C00040,Haddad,Loubna,loubna.haddad853@gmail.com,2005-09-05,Homme,Agadir,0684270583,2023-01-02,marketplace
C00041,Bouazza,Amina,amina.bouazza@@gmail.com,1963-05-28,female,Nador,0618770247,2024-02-27,social_media
C00042,Bouazza,Brahim,brahim.bouazza153@hotmail.com,1967-09-25,m,Rabat,0693002706,2024-10-20,mobile
C00043,El Ouazzani,Hind,hind.elouazzani881@yahoo.fr,1999-12-04,female,Tnja,0645520201,2022-11-07,web
C00044,Benkirane,Hamza,hamza.benkirane3@hotmail.com,1974-05-23,f,tanger,0670939053,2023-12-28,web
C00045,Rahmouni,Laila,laila.rahmouni436@hotmail.com,1969-02-02,h,Fès,0686397676,2022-05-20,marketplace
C00046,Naciri,Nabil,nabil.naciri966@outlook.com,1962-07-24,Homme,Mohammedia,0613471527,2023-10-09,web
C00047,Benali,Soufiane,@live.fr,1990-09-21,h,mkch,0688561612,2024-05-06,social_media
C00048,Tazi,Hanane,hanane.tazi419@yahoo.fr,1986-12-16,female,FES,0683832717,2023-11-13,web
C00049,Benjelloun,Said,said.benjelloun994@gmail.com,2002-09-15,Femme,fes,0679583757,2024-01-07,marketplace
C00050,Bouazza,Hanane,hanane.bouazza209@gmail.com,2004-08-04,female,Meknès,0642117961,2021-11-20,mobile
C00051,Benkirane,Mohamed,mohamed.benkirane231@gmail.com,2001-03-16,male,Mohammedia,0646698468,2023-09-23,social_media
C00052,Amrani,Hanane,hanane.amrani149@live.fr,1968-02-09,female,TNG,0678147397,2024-06-26,marketplace
C00053,Tahiri,Zineb,zineb.tahiri594@live.fr,1990-06-11,Homme,Fès,0671115319,2025-09-13,marketplace
C00054,Ziani,Sara,rachid.skalli719@live.fr,1984-07-22,male,tanger,0626944487,2022-08-02,referral
C00055,Ouahbi,Samira,samira.ouahbi103@outlook.com,2001-03-03,f,RABAT,0693652460,2024-05-11,social_media
C00056,Ouahbi,Samira,samira.ouahbi978@outlook.com,1994-01-20,H,mkch,0648571356,2021-04-21,mobile
C00057,El Idrissi,Asmae,asmae.elidrissi171@outlook.com,1963-05-12,f,Casablanca,0642775624,2023-07-05,referral
C00058,Rahmouni,Soufiane,soufiane.rahmouni180@hotmail.com,1991-10-05,1,casa,0644088261,2022-08-21,social_media
C00059,Rahmouni,Mohamed,mohamed.rahmouni694@yahoo.fr,1979-11-14,female,Safi,0650550084,2023-08-28,mobile
C00060,El Idrissi,Hanane,hanane.elidrissi586@outlook.com,2002-07-09,0,rbt,0616582607,2021-10-28,referral
C00061,Filali,Zineb,zineb.filali822@live.fr,2006-11-22,0,casa,0694216001,2022-11-04,web
C00062,Bennani,Nabil,nabil.bennani750@yahoo.fr,1971-04-05,h,Nador,0677349752,2025-06-17,marketplace
C00063,Benali,Laila,laila.benali765@yahoo.fr,1969-04-28,female,Mohammedia,0622120246,2024-09-12,social_media
C00064,El Idrissi,Reda,reda.elidrissi689@yahoo.fr,1983-02-22,female,El Jadida,0693154172,2022-08-01,referral
C00065,Amrani,Driss,driss.amrani932@outlook.com,1962-05-16,f,Marrakech,0682148284,2021-02-08,mobile
C00066,El Amrani,Ali,ali.elamrani602@outlook.com,1991-10-14,H,Béni Mellal,0659731689,2023-01-23,mobile
C00067,Ouahbi,Karim,karim.ouahbi703@gmail.com,1985-05-07,Femme,CASA,0698955314,2021-08-03,mobile
C00068,Alaoui,Ilham,ilham.alaoui250@yahoo.fr,1995-04-19,m,Oujda,0629804386,2022-04-11,referral
C00069,Berrada,Omar,omar.berrada818@yahoo.fr,1982-04-19,H,Tanger,0645617024,2023-01-06,web
C00070,Sefrioui,Adil,adil.sefrioui488@gmail.com,1992-04-20,f,Tnja,0698436473,2021-12-26,referral
C00071,Alaoui,Imad,imad.alaoui868@outlook.com,1988-02-03,m,tanger,0618815720,2023-10-05,mobile
C00072,Ziani,Imad,imad.ziani391@yahoo.fr,1987-02-26,H,Mohammedia,0683998961,2021-11-21,mobile
C00073,Chraibi,Karim,karim.chraibi409@outlook.com,1976-06-05,Femme,Béni Mellal,0621457410,2024-02-03,web
C00074,Rahmouni,Ali,ali.rahmouni62@live.fr,1986-06-28,1,Nador,0648604965,2024-12-02,referral
C00075,Ziani,Amine,amine.ziani159@hotmail.com,1995-06-04,H,Marrakech,0667594492,2023-10-08,referral
C00076,Haddad,Ilham,ilham.haddad624@gmail.com,1977-12-25,H,Tétouan,0610819505,2023-06-12,mobile
C00077,El Amrani,Wafae,wafae.elamrani146@gmail.com,1973-07-14,male,Rabat,0659667685,2024-06-06,marketplace
C00078,Haddad,Wafae,wafae.haddad160@gmail.com,1988-11-14,f,Casablanca,0665590800,2024-10-15,marketplace
