id_client_sk,id_client_nk,nom_complet,tranche_age,sexe,ville,canal_acquisition,date_debut,date_fin,est_actif,segment_client,region_admin
1,C06961,Dounia Benali,55-64,m,Tanger,marketplace,2026-05-08,9999-12-31,True,Bronze,
2,C06823,Mehdi Alaoui,45-54,m,Fès,social_media,2026-05-08,9999-12-31,True,Bronze,
3,C06524,Mustapha Kettani,45-54,m,Fès,web,2026-05-08,9999-12-31,True,Bronze,
4,C00587,Houda Tazi,35-44,m,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
5,C06215,Fatima Benjelloun,45-54,m,Rabat,mobile,2026-05-08,9999-12-31,True,Bronze,
6,C05566,Nawal Rahmouni,55-64,m,Nador,referral,2026-05-08,9999-12-31,True,Bronze,
7,C01790,Nabil El Amrani,35-44,f,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
8,C01741,Asmae Bennani,45-54,f,Rabat,mobile,2026-05-08,9999-12-31,True,Bronze,
9,C04583,Driss Kettani,55-64,m,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
10,C05324,Ilham Tahiri,45-54,m,Kénitra,mobile,2026-05-08,9999-12-31,True,Bronze,
11,C03322,Hassan El Amrani,35-44,m,Marrakech,social_media,2026-05-08,9999-12-31,True,Bronze,
12,C02452,Zakaria Ouahbi,18-24,f,Béni Mellal,social_media,2026-05-08,9999-12-31,True,Bronze,
13,C07746,Houda Kettani,25-34,m,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
14,C01634,Hamza El Idrissi,35-44,m,Casablanca,social_media,2026-05-08,9999-12-31,True,Bronze,
15,C05890,Nabil Bouazza,18-24,m,Casablanca,social_media,2026-05-08,9999-12-31,True,Bronze,
16,C05179,Hassan Lahlou,25-34,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
17,C00183,Laila Tazi,35-44,f,Rabat,web,2026-05-08,9999-12-31,True,Bronze,
18,C06649,Ahmed Fassi Fihri,Non renseigné,f,Marrakech,mobile,2026-05-08,9999-12-31,True,Bronze,
19,C03626,Houda Filali,45-54,f,Casablanca,marketplace,2026-05-08,9999-12-31,True,Bronze,
20,C01639,Nawal Ziani,55-64,m,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
21,C03788,Houda Chraibi,Non renseigné,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
22,C05098,Ilham Cherkaoui,25-34,f,El Jadida,web,2026-05-08,9999-12-31,True,Bronze,
23,C04312,Said Fassi Fihri,35-44,m,Marrakech,web,2026-05-08,9999-12-31,True,Bronze,
24,C07757,Soufiane El Mansouri,25-34,m,Kénitra,referral,2026-05-08,9999-12-31,True,Bronze,
25,C02004,Reda Haddad,55-64,m,Nador,marketplace,2026-05-08,9999-12-31,True,Bronze,
26,C01184,Nawal Sefrioui,65+,m,Safi,web,2026-05-08,9999-12-31,True,Bronze,
27,C00565,Youssef El Ouazzani,35-44,m,El Jadida,mobile,2026-05-08,9999-12-31,True,Bronze,
28,C03660,Mohamed Filali,45-54,m,Rabat,referral,2026-05-08,9999-12-31,True,Bronze,
29,C04127,Brahim Rahmouni,55-64,m,Safi,web,2026-05-08,9999-12-31,True,Bronze,
30,C01477,Rim El Ouazzani,55-64,m,Oujda,mobile,2026-05-08,9999-12-31,True,Bronze,
31,C06778,Zineb Naciri,55-64,f,Rabat,marketplace,2026-05-08,9999-12-31,True,Bronze,
32,C06431,Hind El Amrani,25-34,f,Béni Mellal,marketplace,2026-05-08,9999-12-31,True,Bronze,
33,C02863,Laila Amrani,25-34,f,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
34,C04276,Youssef Skalli,35-44,m,Safi,referral,2026-05-08,9999-12-31,True,Bronze,
35,C02950,Adil Ouahbi,35-44,m,Fès,social_media,2026-05-08,9999-12-31,True,Bronze,
36,C07903,Wafae Bouazza,55-64,m,Fès,web,2026-05-08,9999-12-31,True,Bronze,
37,C07925,Houda Lahlou,35-44,f,Fès,web,2026-05-08,9999-12-31,True,Bronze,
38,C07389,Youssef Benkirane,55-64,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
