id_livreur,id_livreur_nk,nom_livreur,type_transport,zone_couverture
1,L001,Soufiane Bennani,Moto,Sud
2,L002,Said Amrani,Voiture,Nord
3,L003,Khalid Ouahbi,Moto,National
4,L004,Mehdi Alaoui,Moto,Nord
5,L005,Rachid Amrani,Moto,National
6,L006,Rachid Ouahbi,Vélo,Centre
7,L007,Zakaria Tahiri,Camionnette,Nord
8,L008,Omar Ouahbi,Vélo,Sud
9,L009,Driss Tazi,Voiture,Sud
10,L010,Karim Bennani,Vélo,Nord
11,L011,Hassan Haddad,Camionnette,Nord
12,L012,Abdellatif Bouazza,Moto,Est
13,L013,Mohamed Naciri,Camionnette,National
14,L014,Hassan Tahiri,Voiture,Nord
15,L015,Ahmed Filali,Voiture,Sud
16,L016,Mohamed Amrani,Moto,Est
17,L017,Driss Bouazza,Camionnette,Centre
18,L018,Hassan Haddad,Voiture,Sud
19,L019,Samir Filali,Moto,National
20,L020,Soufiane Tazi,Voiture,Centre
21,L021,Zakaria Ziani,Camionnette,National
22,L022,Said Filali,Camionnette,Nord
23,L023,Said Alaoui,Camionnette,Est
24,L024,Driss Bennani,Voiture,National
25,L025,Samir Haddad,Voiture,Est
26,L026,Amine Filali,Vélo,Centre
27,L027,Driss Tazi,Voiture,National
28,L028,Nabil Berrada,Vélo,National
29,L029,Amine Haddad,Voiture,Centre
30,L030,Adil Bouazza,Moto,Nord
31,L031,Karim Tazi,Voiture,Est
32,L032,Imad Bennani,Vélo,Est
33,L033,Imad Bouazza,Camionnette,National
34,L034,Youssef Filali,Moto,National
35,L035,Driss Filali,Camionnette,Nord
36,L036,Mustapha Ziani,Voiture,Est
37,L037,Youssef Ouahbi,Camionnette,National
38,L038,Omar Naciri,Moto,Sud
39,L039,Soufiane Naciri,Voiture,Centre
40,L040,Hassan Tazi,Moto,National
41,L041,Ali Bouazza,Moto,Nord
42,L042,Hassan Berrada,Voiture,Nord
43,L043,Said Tahiri,Moto,Nord
44,L044,Abdellatif Bouazza,Moto,National
45,L045,Hamza Tazi,Vélo,National
46,L046,Omar Berrada,Vélo,Centre
47,L047,Nabil Ouahbi,Voiture,Sud
48,L048,Amine Filali,Camionnette,Est
49,L049,Adil Bouazza,Moto,Centre
50,L050,Said Bennani,Camionnette,Nord
51,-1,Livreur Inconnu,Non renseigné,Non renseigné
